cigar,length,count,length_count_per_cigar
D,1,3,1.000000
I,1,43,0.977273
I,2,1,0.022727
M,2,1,0.020833
M,8,1,0.020833
M,9,1,0.020833
M,11,1,0.020833
M,13,1,0.020833
M,14,1,0.020833
M,16,1,0.020833
M,17,1,0.020833
M,20,1,0.020833
M,32,1,0.020833
M,33,1,0.020833
M,35,2,0.041667
M,39,1,0.020833
M,41,1,0.020833
M,42,1,0.020833
M,43,1,0.020833
M,44,1,0.020833
M,51,1,0.020833
M,52,1,0.020833
M,53,1,0.020833
M,56,1,0.020833
M,57,1,0.020833
M,79,1,0.020833
M,86,1,0.020833
M,89,2,0.041667
M,90,1,0.020833
M,92,1,0.020833
M,96,1,0.020833
M,104,1,0.020833
M,112,1,0.020833
M,114,1,0.020833
M,120,1,0.020833
M,128,1,0.020833
M,140,1,0.020833
M,142,1,0.020833
M,145,1,0.020833
M,150,1,0.020833
M,164,1,0.020833
M,175,1,0.020833
M,229,1,0.020833
M,243,1,0.020833
M,250,1,0.020833
M,322,1,0.020833
M,361,1,0.020833
M,373,1,0.020833
M,381,1,0.020833
